"Município";"Pib"
"Bugre (MG)";"47558"
"Buritis (MG)";"1164015"
"Buritizeiro (MG)";"736130"
"Cabeceira Grande (MG)";"477388"
"Cabo Verde (MG)";"290843"
"Cachoeira da Prata (MG)";"51864"
"Cachoeira de Minas (MG)";"537009"
"Cachoeira Dourada (MG)";"269619"
"Caetanópolis (MG)";"315264"
"Caeté (MG)";"1074938"
"Caiana (MG)";"88656"
"Cajuri (MG)";"97321"
"Caldas (MG)";"337663"
"Camacho (MG)";"70874"
"Camanducaia (MG)";"990373"
"Cambuí (MG)";"1865719"
"Cambuquira (MG)";"370862"
"Campanário (MG)";"53464"
"Campanha (MG)";"439877"
"Campestre (MG)";"486392"
"Campina Verde (MG)";"536834"
"Campo Azul (MG)";"40662"
"Campo Belo (MG)";"1244647"
"Campo do Meio (MG)";"231132"
"Campo Florido (MG)";"710907"
"Campos Altos (MG)";"434286"
"Campos Gerais (MG)";"704550"
"Canaã (MG)";"77460"
"Canápolis (MG)";"678012"
"Cana Verde (MG)";"80138"
"Candeias (MG)";"371149"
"Cantagalo (MG)";"56761"
"Caparaó (MG)";"97624"
"Capela Nova (MG)";"62476"
"Capelinha (MG)";"888063"
"Capetinga (MG)";"207280"
"Capim Branco (MG)";"123379"
"Capinópolis (MG)";"666601"
"Capitão Andrade (MG)";"60813"
"Capitão Enéas (MG)";"501518"
"Capitólio (MG)";"328449"
"Caputira (MG)";"143751"
"Caraí (MG)";"210428"
"Caranaíba (MG)";"41483"
"Carandaí (MG)";"751899"
"Carangola (MG)";"639260"
"Caratinga (MG)";"2283288"
"Carbonita (MG)";"220682"
"Careaçu (MG)";"174197"
"Carlos Chagas (MG)";"474792"
"Carmésia (MG)";"39788"
"Carmo da Cachoeira (MG)";"321643"
"Carmo da Mata (MG)";"265730"
"Carmo de Minas (MG)";"290443"
"Carmo do Cajuru (MG)";"629040"
"Carmo do Paranaíba (MG)";"1060224"
"Carmo do Rio Claro (MG)";"694617"
"Carmópolis de Minas (MG)";"461604"
"Carneirinho (MG)";"407481"
"Carrancas (MG)";"177651"
"Carvalhópolis (MG)";"71387"
"Carvalhos (MG)";"80638"
"Casa Grande (MG)";"69241"
"Cascalho Rico (MG)";"80004"
"Cássia (MG)";"436435"
"Conceição da Barra de Minas (MG)";"68733"
"Cataguases (MG)";"1651609"
"Catas Altas (MG)";"5032358"
"Catas Altas da Noruega (MG)";"40793"
"Catuji (MG)";"83289"
"Catuti (MG)";"56844"
"Caxambu (MG)";"371035"
"Cedro do Abaeté (MG)";"22406"
"Central de Minas (MG)";"87071"
"Centralina (MG)";"351070"
"Chácara (MG)";"47151"
"Chalé (MG)";"114181"
"Chapada do Norte (MG)";"111127"
"Chapada Gaúcha (MG)";"403118"
"Chiador (MG)";"37253"
"Cipotânea (MG)";"73306"
"Claraval (MG)";"182017"
"Claro dos Poções (MG)";"83730"
"Cláudio (MG)";"1118680"
"Coimbra (MG)";"139845"
"Coluna (MG)";"121196"
"Comendador Gomes (MG)";"154809"
"Comercinho (MG)";"68129"
"Conceição da Aparecida (MG)";"274177"
"Conceição das Pedras (MG)";"61043"
"Conceição das Alagoas (MG)";"1318367"
"Conceição de Ipanema (MG)";"81016"
"Conceição do Mato Dentro (MG)";"9051036"
"Conceição do Pará (MG)";"494122"
"Conceição do Rio Verde (MG)";"343578"
"Conceição dos Ouros (MG)";"225127"
"Cônego Marinho (MG)";"63480"
"Confins (MG)";"485732"
"Congonhal (MG)";"220411"
"Congonhas (MG)";"4115644"
"Congonhas do Norte (MG)";"49300"
"Conquista (MG)";"490137"
"Conselheiro Lafaiete (MG)";"3118549"
"Conselheiro Pena (MG)";"383878"
"Consolação (MG)";"31451"
"Contagem (MG)";"36479765"
"Coqueiral (MG)";"234166"
"Coração de Jesus (MG)";"272891"
"Cordisburgo (MG)";"146187"
"Cordislândia (MG)";"113770"
"Corinto (MG)";"612295"
"Coroaci (MG)";"125593"
"Coromandel (MG)";"1535205"
"Coronel Fabriciano (MG)";"1996019"
"Coronel Murta (MG)";"119865"
"Coronel Pacheco (MG)";"60102"
"Coronel Xavier Chaves (MG)";"90916"
"Córrego Danta (MG)";"165603"
"Córrego do Bom Jesus (MG)";"45638"
"Córrego Fundo (MG)";"320637"
"Córrego Novo (MG)";"38526"
"Couto de Magalhães de Minas (MG)";"63270"
"Crisólita (MG)";"76419"
"Cristais (MG)";"295530"
"Cristália (MG)";"59171"
"Cristiano Otoni (MG)";"123694"
"Cristina (MG)";"233896"
"Crucilândia (MG)";"83098"
"Cruzeiro da Fortaleza (MG)";"184043"
"Cruzília (MG)";"317748"
"Cuparaque (MG)";"74054"
"Curral de Dentro (MG)";"80453"
"Curvelo (MG)";"2230617"
"Datas (MG)";"73964"
"Delfim Moreira (MG)";"125715"
"Delfinópolis (MG)";"247245"
"Delta (MG)";"466767"
"Descoberto (MG)";"81745"
"Desterro de Entre Rios (MG)";"261204"
"Desterro do Melo (MG)";"50625"
"Diamantina (MG)";"984259"
"Diogo de Vasconcelos (MG)";"42942"
"Dionísio (MG)";"90883"
"Divinésia (MG)";"63715"
"Divino (MG)";"319462"
"Divino das Laranjeiras (MG)";"61695"
"Divinolândia de Minas (MG)";"82295"
"Divinópolis (MG)";"8331346"
"Divisa Alegre (MG)";"178208"
"Divisa Nova (MG)";"129555"
"Divisópolis (MG)";"93202"
"Dom Bosco (MG)";"69302"
"Dom Cavati (MG)";"69648"
"Dom Joaquim (MG)";"67823"
"Dom Silvério (MG)";"107932"
"Dom Viçoso (MG)";"39052"
"Dona Euzébia (MG)";"109905"
"Dores de Campos (MG)";"320215"
"Dores de Guanhães (MG)";"190683"
"Dores do Indaiá (MG)";"352232"
"Dores do Turvo (MG)";"66847"
"Doresópolis (MG)";"84134"
"Douradoquara (MG)";"79333"
"Durandé (MG)";"122893"
"Elói Mendes (MG)";"705930"
"Engenheiro Caldas (MG)";"157033"
"Engenheiro Navarro (MG)";"92061"
"Entre Folhas (MG)";"64926"
"Entre Rios de Minas (MG)";"270226"
"Ervália (MG)";"409477"
"Esmeraldas (MG)";"973105"
"Espera Feliz (MG)";"411020"
"Espinosa (MG)";"363982"
"Espírito Santo do Dourado (MG)";"122239"
"Estiva (MG)";"601894"
"Estrela Dalva (MG)";"42898"
"Estrela do Indaiá (MG)";"165292"
"Estrela do Sul (MG)";"351924"
"Eugenópolis (MG)";"221830"
"Ewbank da Câmara (MG)";"54364"
"Extrema (MG)";"13651225"
"Fama (MG)";"58635"
"Faria Lemos (MG)";"64378"
"Felício dos Santos (MG)";"73739"
"São Gonçalo do Rio Preto (MG)";"48754"
"Felisburgo (MG)";"75707"
"Felixlândia (MG)";"281155"
"Fernandes Tourinho (MG)";"45856"
"Ferros (MG)";"147924"
"Fervedouro (MG)";"156889"
"Florestal (MG)";"142809"
"Formiga (MG)";"2214110"
"Formoso (MG)";"314917"
"Fortaleza de Minas (MG)";"111306"
"Fortuna de Minas (MG)";"51272"
"Francisco Badaró (MG)";"77814"
"Francisco Dumont (MG)";"75609"
"Francisco Sá (MG)";"451860"
"Franciscópolis (MG)";"102828"
"Frei Gaspar (MG)";"80106"
"Frei Inocêncio (MG)";"150490"
"Frei Lagonegro (MG)";"35559"
"Fronteira (MG)";"935152"
"Fronteira dos Vales (MG)";"48953"
"Fruta de Leite (MG)";"47086"
"Frutal (MG)";"2473118"
"Funilândia (MG)";"83333"
"Galiléia (MG)";"113734"
"Gameleiras (MG)";"57339"
"Glaucilândia (MG)";"41129"
"Goiabeira (MG)";"49908"
"Goianá (MG)";"62270"
"Gonçalves (MG)";"94285"
"Gonzaga (MG)";"68973"
"Gouveia (MG)";"198923"
"Governador Valadares (MG)";"7382837"
"Grão Mogol (MG)";"770889"
"Grupiara (MG)";"44200"
"Guanhães (MG)";"996965"
"Guapé (MG)";"390784"
"Guaraciaba (MG)";"115228"
"Guaraciama (MG)";"78027"
"Guaranésia (MG)";"549336"
"Guarani (MG)";"173714"
"Guarará (MG)";"57636"
"Guarda-Mor (MG)";"750723"
"Guaxupé (MG)";"2806366"
"Guidoval (MG)";"123659"
"Guimarânia (MG)";"327236"
"Guiricema (MG)";"114431"
"Gurinhatã (MG)";"180809"
"Heliodora (MG)";"133454"
"Iapu (MG)";"176419"
"Ibertioga (MG)";"103561"
"Ibiá (MG)";"1534749"
"Ibiaí (MG)";"114963"
"Ibiracatu (MG)";"51265"
"Ibiraci (MG)";"728305"
"Ibirité (MG)";"3203506"
"Ibitiúra de Minas (MG)";"77638"
"Ibituruna (MG)";"59358"
"Icaraí de Minas (MG)";"111447"
"Igarapé (MG)";"967312"
"Igaratinga (MG)";"578190"
"Iguatama (MG)";"587430"
"Ijaci (MG)";"494882"
"Ilicínea (MG)";"265384"
"Imbé de Minas (MG)";"101174"
"Inconfidentes (MG)";"132576"
"Indaiabira (MG)";"87312"
"Indianópolis (MG)";"875663"
"Ingaí (MG)";"115702"
"Inhapim (MG)";"404796"
"Inhaúma (MG)";"145789"
"Inimutaba (MG)";"90737"
"Ipaba (MG)";"180315"
"Ipanema (MG)";"344577"
"Ipatinga (MG)";"17609177"
"Ipiaçu (MG)";"183084"
"Ipuiúna (MG)";"188530"
"Iraí de Minas (MG)";"301551"
"Itabira (MG)";"14971929"
"Itabirinha (MG)";"136423"
"Itabirito (MG)";"13139828"
"Itacambira (MG)";"61721"
"Itacarambi (MG)";"226363"
"Itaguara (MG)";"402464"
"Itaipé (MG)";"121602"
"Itajubá (MG)";"3288441"
"Itamarandiba (MG)";"647509"
"Itamarati de Minas (MG)";"67336"
"Itambacuri (MG)";"341052"
"Itambé do Mato Dentro (MG)";"35922"
"Itamogi (MG)";"236365"
"Itamonte (MG)";"1182177"
"Itanhandu (MG)";"470229"
"Itanhomi (MG)";"151296"
"Itaobim (MG)";"308690"
"Itapagipe (MG)";"514269"
"Itapecerica (MG)";"629195"
"Itapeva (MG)";"848636"
"Itatiaiuçu (MG)";"6934792"
"Itaú de Minas (MG)";"724266"
"Itaúna (MG)";"5084952"
"Itaverava (MG)";"71363"
"Itinga (MG)";"148258"
"Itueta (MG)";"122207"
"Ituiutaba (MG)";"3797932"
"Itumirim (MG)";"91622"
"Iturama (MG)";"2017455"
"Itutinga (MG)";"172515"
"Jaboticatubas (MG)";"297901"
"Jacinto (MG)";"131584"
"Jacuí (MG)";"150968"
"Jacutinga (MG)";"1143965"
"Jaguaraçu (MG)";"109845"
"Jaíba (MG)";"849210"
"Jampruca (MG)";"82540"
"Janaúba (MG)";"1603651"
"Januária (MG)";"824599"
"Japaraíba (MG)";"101337"
"Japonvar (MG)";"77423"
"Jeceaba (MG)";"1953259"
"Jenipapo de Minas (MG)";"79480"
"Jequeri (MG)";"193981"
"Jequitaí (MG)";"130474"
"Jequitibá (MG)";"126191"
"Jequitinhonha (MG)";"274832"
"Jesuânia (MG)";"104204"
"Joaíma (MG)";"162644"
"Joanésia (MG)";"110227"
"João Monlevade (MG)";"4851241"
"João Pinheiro (MG)";"2156171"
"Joaquim Felício (MG)";"72335"
"Jordânia (MG)";"107172"
"José Gonçalves de Minas (MG)";"51745"
"José Raydan (MG)";"72338"
"Josenópolis (MG)";"58028"
"Nova União (MG)";"107518"
"Juatuba (MG)";"1437155"
"Juiz de Fora (MG)";"20297559"
"Juramento (MG)";"51609"
"Juruaia (MG)";"274109"
"Juvenília (MG)";"65633"
"Ladainha (MG)";"147330"
"Lagamar (MG)";"242527"
"Lagoa da Prata (MG)";"1986274"
"Lagoa dos Patos (MG)";"59611"
"Lagoa Dourada (MG)";"345418"
"Lagoa Formosa (MG)";"565583"
"Lagoa Grande (MG)";"292506"
"Lagoa Santa (MG)";"2189391"
"Lajinha (MG)";"399673"
"Lambari (MG)";"405064"
"Lamim (MG)";"52131"
"Laranjal (MG)";"95788"
"Lassance (MG)";"192541"
"Lavras (MG)";"2941931"
"Leandro Ferreira (MG)";"55510"
"Leme do Prado (MG)";"66205"
"Leopoldina (MG)";"1113027"
"Liberdade (MG)";"107638"
"Lima Duarte (MG)";"339660"
"Limeira do Oeste (MG)";"462851"
"Lontra (MG)";"93858"
"Luisburgo (MG)";"132789"
"Luislândia (MG)";"65474"
"Luminárias (MG)";"149070"
"Luz (MG)";"657025"
"Machacalis (MG)";"112451"
"Machado (MG)";"1373850"
"Madre de Deus de Minas (MG)";"301988"
"Malacacheta (MG)";"235819"
"Mamonas (MG)";"60107"
"Manga (MG)";"243371"
"Manhuaçu (MG)";"3278527"
"Manhumirim (MG)";"563494"
"Mantena (MG)";"476940"
"Maravilhas (MG)";"233154"
"Mar de Espanha (MG)";"227578"
"Maria da Fé (MG)";"203136"
"Mariana (MG)";"7367378"
"Marilac (MG)";"57719"
"Mário Campos (MG)";"198000"
"Maripá de Minas (MG)";"74979"
"Marliéria (MG)";"60450"
"Marmelópolis (MG)";"42794"
"Martinho Campos (MG)";"474772"
"Martins Soares (MG)";"215681"
"Mata Verde (MG)";"91577"
"Materlândia (MG)";"60534"
"Mateus Leme (MG)";"1079651"
"Matias Barbosa (MG)";"628205"
"Matias Cardoso (MG)";"158638"
"Matipó (MG)";"425322"
"Mato Verde (MG)";"157578"
"Matozinhos (MG)";"1506154"
"Matutina (MG)";"97194"
"Medeiros (MG)";"247330"
"Medina (MG)";"253051"
"Mendes Pimentel (MG)";"77396"
"Mercês (MG)";"151768"
"Mesquita (MG)";"59463"
"Minas Novas (MG)";"350142"
"Minduri (MG)";"163786"
"Mirabela (MG)";"163017"
"Miradouro (MG)";"174006"
"Miraí (MG)";"334110"
"Miravânia (MG)";"46808"
"Moeda (MG)";"76842"
"Moema (MG)";"152615"
"Monjolos (MG)";"46811"
"Monsenhor Paulo (MG)";"228158"
"Montalvânia (MG)";"165416"
"Monte Alegre de Minas (MG)";"757892"
"Monte Azul (MG)";"256132"
"Monte Belo (MG)";"365890"
"Monte Carmelo (MG)";"1558716"
"Monte Formoso (MG)";"44055"
"Monte Santo de Minas (MG)";"483352"
"Montes Claros (MG)";"10800251"
"Monte Sião (MG)";"606448"
"Montezuma (MG)";"91071"
"Morada Nova de Minas (MG)";"541171"
"Morro da Garça (MG)";"51051"
"Morro do Pilar (MG)";"44118"
"Munhoz (MG)";"128563"
"Muriaé (MG)";"2655056"
"Mutum (MG)";"508583"
"Muzambinho (MG)";"535441"
"Nacip Raydan (MG)";"37386"
"Nanuque (MG)";"808599"
"Naque (MG)";"90048"
"Natalândia (MG)";"75129"
"Natércia (MG)";"115354"
"Nazareno (MG)";"668882"
"Nepomuceno (MG)";"618502"
"Ninheira (MG)";"126384"
"Nova Belém (MG)";"83428"
"Nova Era (MG)";"432891"
"Nova Lima (MG)";"21042646"
"Nova Módica (MG)";"58650"
"Nova Ponte (MG)";"1116305"
"Nova Porteirinha (MG)";"116257"
"Nova Resende (MG)";"385669"
"Nova Serrana (MG)";"2635892"
"Novo Cruzeiro (MG)";"330447"
"Novo Oriente de Minas (MG)";"121571"
"Novorizonte (MG)";"70417"
"Olaria (MG)";"31909"
"Olhos-d'Água (MG)";"211931"
"Olímpio Noronha (MG)";"43929"
"Oliveira (MG)";"1105051"
"Oliveira Fortes (MG)";"40532"
"Onça de Pitangui (MG)";"64915"
"Oratórios (MG)";"70864"
"Orizânia (MG)";"122059"
"Ouro Branco (MG)";"8842769"
"Ouro Fino (MG)";"934189"
"Ouro Preto (MG)";"9520035"
"Ouro Verde de Minas (MG)";"67814"
"Padre Carvalho (MG)";"58192"
"Padre Paraíso (MG)";"213919"
"Paineiras (MG)";"82825"
"Pains (MG)";"531428"
"Pai Pedro (MG)";"58645"
"Paiva (MG)";"27301"
"Palma (MG)";"103673"
"Palmópolis (MG)";"63874"
"Papagaios (MG)";"374343"
"Paracatu (MG)";"7198617"
"Pará de Minas (MG)";"4025297"
"Paraguaçu (MG)";"650754"
"Paraisópolis (MG)";"592590"
"Paraopeba (MG)";"918487"
"Passabém (MG)";"23595"
"Passa Quatro (MG)";"472423"
"Passa Tempo (MG)";"480322"
"Passa Vinte (MG)";"42087"
"Passos (MG)";"3024709"
"Patis (MG)";"55018"
"Patos de Minas (MG)";"6145130"
"Patrocínio (MG)";"3678404"
"Patrocínio do Muriaé (MG)";"116065"
"Paula Cândido (MG)";"136815"
"Paulistas (MG)";"67350"
"Pavão (MG)";"93078"
"Peçanha (MG)";"270148"
"Pedra Azul (MG)";"401448"
"Pedra Bonita (MG)";"96477"
"Pedra do Anta (MG)";"57727"
"Pedra do Indaiá (MG)";"116154"
"Pedra Dourada (MG)";"42293"
"Pedralva (MG)";"182678"
"Pedras de Maria da Cruz (MG)";"109590"
"Pedrinópolis (MG)";"204115"
"Pedro Leopoldo (MG)";"1939056"
"Pedro Teixeira (MG)";"30268"
"Pequeri (MG)";"62540"
"Pequi (MG)";"85506"
"Perdigão (MG)";"227190"
"Perdizes (MG)";"1629092"
"Perdões (MG)";"627041"
"Periquito (MG)";"111678"
"Pescador (MG)";"47101"
"Piau (MG)";"92672"
"Piedade de Caratinga (MG)";"140778"
"Piedade de Ponte Nova (MG)";"62735"
"Piedade do Rio Grande (MG)";"110401"
"Piedade dos Gerais (MG)";"89821"
"Pimenta (MG)";"281722"
"Pingo-d'Água (MG)";"52720"
"Pintópolis (MG)";"71219"
"Piracema (MG)";"303200"
"Pirajuba (MG)";"403824"
"Piranga (MG)";"200178"
"Piranguçu (MG)";"78368"
"Piranguinho (MG)";"136079"
"Pirapetinga (MG)";"639090"
"Pirapora (MG)";"2875259"
"Piraúba (MG)";"200665"
"Pitangui (MG)";"741338"
"Piumhi (MG)";"1280835"
"Planura (MG)";"574328"
"Poço Fundo (MG)";"403867"
"Poços de Caldas (MG)";"8531692"
"Pocrane (MG)";"121719"
"Pompéu (MG)";"1170187"
"Ponte Nova (MG)";"2144994"
"Ponto Chique (MG)";"52076"
"Ponto dos Volantes (MG)";"122556"
"Porteirinha (MG)";"526939"
"Porto Firme (MG)";"130247"
"Poté (MG)";"168795"
"Pouso Alegre (MG)";"10720093"
"Pouso Alto (MG)";"277468"
"Prados (MG)";"229201"
"Prata (MG)";"1293341"
"Pratápolis (MG)";"228649"
"Pratinha (MG)";"154731"
"Presidente Bernardes (MG)";"67716"
"Presidente Juscelino (MG)";"49095"
"Presidente Kubitschek (MG)";"36194"
"Presidente Olegário (MG)";"731489"
"Alto Jequitibá (MG)";"125604"
"Prudente de Morais (MG)";"203136"
"Quartel Geral (MG)";"77631"
"Queluzito (MG)";"40046"
"Raposos (MG)";"193699"
"Raul Soares (MG)";"423415"
"Recreio (MG)";"123322"
"Reduto (MG)";"121225"
"Resende Costa (MG)";"207535"
"Resplendor (MG)";"277857"
"Ressaquinha (MG)";"373035"
"Riachinho (MG)";"157263"
"Riacho dos Machados (MG)";"532748"
"Ribeirão das Neves (MG)";"5181711"
"Ribeirão Vermelho (MG)";"105348"
"Rio Acima (MG)";"472471"
"Rio Casca (MG)";"237367"
"Rio Doce (MG)";"51873"
"Rio do Prado (MG)";"52673"
"Rio Espera (MG)";"59610"
"Rio Manso (MG)";"113745"
"Rio Novo (MG)";"120108"
"Rio Paranaíba (MG)";"906353"
"Rio Pardo de Minas (MG)";"345467"
"Rio Piracicaba (MG)";"1339301"
"Rio Pomba (MG)";"417439"
"Rio Preto (MG)";"69182"
"Rio Vermelho (MG)";"140768"
"Ritápolis (MG)";"90357"
"Rochedo de Minas (MG)";"114736"
"Rodeiro (MG)";"550096"
"Romaria (MG)";"271547"
"Rosário da Limeira (MG)";"67739"
"Rubelita (MG)";"80085"
"Rubim (MG)";"111720"
"Sabará (MG)";"4201730"
"Sabinópolis (MG)";"334745"
"Sacramento (MG)";"2090987"
"Salinas (MG)";"667409"
"Salto da Divisa (MG)";"132072"
"Santa Bárbara (MG)";"1628493"
"Santa Bárbara do Leste (MG)";"111650"
"Santa Bárbara do Monte Verde (MG)";"56244"
"Santa Bárbara do Tugúrio (MG)";"70594"
"Santa Cruz de Minas (MG)";"103519"
"Santa Cruz de Salinas (MG)";"49009"
"Santa Cruz do Escalvado (MG)";"76965"
"Santa Efigênia de Minas (MG)";"51019"
"Santa Fé de Minas (MG)";"59942"
"Santa Helena de Minas (MG)";"57951"
"Santa Juliana (MG)";"860482"
"Santa Luzia (MG)";"5290589"
"Santa Margarida (MG)";"354063"
"Santa Maria de Itabira (MG)";"269043"
"Santa Maria do Salto (MG)";"49995"
"Santa Maria do Suaçuí (MG)";"170840"
"Santana da Vargem (MG)";"242910"
"Santana de Cataguases (MG)";"49933"
"Santana de Pirapama (MG)";"116685"
"Santana do Deserto (MG)";"47378"
"Santana do Garambéu (MG)";"39157"
"Santana do Jacaré (MG)";"105993"
"Santana do Manhuaçu (MG)";"189846"
"Santana do Paraíso (MG)";"750463"
"Santana do Riacho (MG)";"103786"
"Santana dos Montes (MG)";"49866"
"Santa Rita de Caldas (MG)";"227955"
"Santa Rita de Jacutinga (MG)";"74817"
"Santa Rita de Minas (MG)";"151813"
"Santa Rita de Ibitipoca (MG)";"61761"
"Santa Rita do Itueto (MG)";"179081"
"Santa Rita do Sapucaí (MG)";"1944614"
"Santa Rosa da Serra (MG)";"102034"
"Santa Vitória (MG)";"802690"
"Santo Antônio do Amparo (MG)";"354432"
"Santo Antônio do Aventureiro (MG)";"67920"
"Santo Antônio do Grama (MG)";"85672"
"Santo Antônio do Itambé (MG)";"44707"
"Santo Antônio do Jacinto (MG)";"114554"
"Santo Antônio do Monte (MG)";"843029"
"Santo Antônio do Retiro (MG)";"70750"
"Santo Antônio do Rio Abaixo (MG)";"28497"
"Santo Hipólito (MG)";"50200"
"Santos Dumont (MG)";"1102977"
"São Bento Abade (MG)";"89310"
"São Brás do Suaçuí (MG)";"80505"
"São Domingos das Dores (MG)";"91417"
"São Domingos do Prata (MG)";"313491"
"São Félix de Minas (MG)";"43895"
"São Francisco (MG)";"648148"
"São Francisco de Paula (MG)";"150481"
"São Francisco de Sales (MG)";"194087"
"São Francisco do Glória (MG)";"72567"
"São Geraldo (MG)";"264434"
"São Geraldo da Piedade (MG)";"44821"
"São Geraldo do Baixio (MG)";"49944"
"São Gonçalo do Abaeté (MG)";"325580"
"São Gonçalo do Pará (MG)";"311248"
"São Gonçalo do Rio Abaixo (MG)";"7603851"
"São Gonçalo do Sapucaí (MG)";"987545"
"São Gotardo (MG)";"1189360"
"São João Batista do Glória (MG)";"268158"
"São João da Lagoa (MG)";"60418"
"São João da Mata (MG)";"55082"
"São João da Ponte (MG)";"268895"
"São João das Missões (MG)";"92400"
"São João del Rei (MG)";"3005052"
"São João do Manhuaçu (MG)";"183099"
"São João do Manteninha (MG)";"81243"
"São João do Oriente (MG)";"101877"
"São João do Pacuí (MG)";"44646"
"São João do Paraíso (MG)";"285080"
"São João Evangelista (MG)";"253108"
"São João Nepomuceno (MG)";"506309"
"São Joaquim de Bicas (MG)";"1083354"
"São José da Barra (MG)";"891476"
"São José da Lapa (MG)";"625195"
"São José da Safira (MG)";"49560"
"São José da Varginha (MG)";"114407"
"São José do Alegre (MG)";"57940"
"São José do Divino (MG)";"53046"
"São José do Goiabal (MG)";"67388"
"São José do Jacuri (MG)";"99911"
"São José do Mantimento (MG)";"44175"
"São Lourenço (MG)";"1177922"
"São Miguel do Anta (MG)";"105089"
"São Pedro da União (MG)";"148166"
"São Pedro dos Ferros (MG)";"134410"
"São Pedro do Suaçuí (MG)";"81787"
"São Romão (MG)";"243121"
"São Roque de Minas (MG)";"323185"
"São Sebastião da Bela Vista (MG)";"443000"
"São Sebastião da Vargem Alegre (MG)";"66816"
"São Sebastião do Anta (MG)";"104241"
"São Sebastião do Maranhão (MG)";"100816"
"São Sebastião do Oeste (MG)";"597003"
"São Sebastião do Paraíso (MG)";"2236521"
"São Sebastião do Rio Preto (MG)";"25970"
"São Sebastião do Rio Verde (MG)";"35692"
"São Tiago (MG)";"246094"
"São Tomás de Aquino (MG)";"195273"
"São Tomé das Letras (MG)";"137362"
"São Vicente de Minas (MG)";"206110"
"Sapucaí-Mirim (MG)";"110272"
"Sardoá (MG)";"68802"
"Sarzedo (MG)";"2190992"
"Setubinha (MG)";"122686"
"Sem-Peixe (MG)";"36665"
"Senador Amaral (MG)";"89448"
"Senador Cortes (MG)";"38035"
"Senador Firmino (MG)";"106777"
"Senador José Bento (MG)";"35496"
"Senador Modestino Gonçalves (MG)";"92207"
"Senhora de Oliveira (MG)";"81083"
"Senhora do Porto (MG)";"49778"
"Senhora dos Remédios (MG)";"115769"
"Sericita (MG)";"104985"
"Seritinga (MG)";"45232"
"Serra Azul de Minas (MG)";"45066"
"Serra da Saudade (MG)";"21891"
"Serra dos Aimorés (MG)";"91034"
"Serra do Salitre (MG)";"983222"
"Serrania (MG)";"161647"
"Serranópolis de Minas (MG)";"47456"
"Serranos (MG)";"38562"
"Serro (MG)";"292440"
"Sete Lagoas (MG)";"12659740"
"Silveirânia (MG)";"35150"
"Silvianópolis (MG)";"141556"
"Simão Pereira (MG)";"104072"
"Simonésia (MG)";"285287"
"Sobrália (MG)";"67373"
"Soledade de Minas (MG)";"81877"
"Tabuleiro (MG)";"65731"
"Taiobeiras (MG)";"557419"
"Taparuba (MG)";"49070"
"Tapira (MG)";"689238"
"Tapiraí (MG)";"56041"
"Taquaraçu de Minas (MG)";"65923"
"Tarumirim (MG)";"188341"
"Teixeiras (MG)";"191322"
"Teófilo Otoni (MG)";"2951670"
"Timóteo (MG)";"5611339"
"Tiradentes (MG)";"205707"
"Tiros (MG)";"379859"
"Tocantins (MG)";"349691"
"Tocos do Moji (MG)";"70719"
"Toledo (MG)";"107161"
"Tombos (MG)";"130979"
"Três Corações (MG)";"2959361"
"Três Marias (MG)";"3151633"
"Três Pontas (MG)";"1879264"
"Tumiritinga (MG)";"82915"
"Tupaciguara (MG)";"946559"
"Turmalina (MG)";"443706"
"Turvolândia (MG)";"139820"
"Ubá (MG)";"3573940"
"Ubaí (MG)";"117219"
"Ubaporanga (MG)";"167991"
"Uberaba (MG)";"20397519"
"Uberlândia (MG)";"43129285"
"Umburatiba (MG)";"44172"
"Unaí (MG)";"4319563"
"União de Minas (MG)";"130424"
"Uruana de Minas (MG)";"97097"
"Urucânia (MG)";"239997"
"Urucuia (MG)";"193242"
"Vargem Alegre (MG)";"77331"
"Vargem Bonita (MG)";"87637"
"Vargem Grande do Rio Pardo (MG)";"68130"
"Varginha (MG)";"8093810"
"Varjão de Minas (MG)";"316199"
"Várzea da Palma (MG)";"1067613"
"Varzelândia (MG)";"187206"
"Vazante (MG)";"1168648"
"Verdelândia (MG)";"115451"
"Veredinha (MG)";"133052"
"Veríssimo (MG)";"170434"
"Vermelho Novo (MG)";"64216"
"Vespasiano (MG)";"3020537"
"Viçosa (MG)";"1811859"
"Vieiras (MG)";"53459"
"Mathias Lobato (MG)";"43931"
"Virgem da Lapa (MG)";"131604"
"Virgínia (MG)";"180446"
"Virginópolis (MG)";"183953"
"Virgolândia (MG)";"62674"
"Visconde do Rio Branco (MG)";"1351679"
"Volta Grande (MG)";"140361"
"Wenceslau Braz (MG)";"33088"
"Afonso Cláudio (ES)";"569771"
"Águia Branca (ES)";"246004"
"Água Doce do Norte (ES)";"184402"
"Alegre (ES)";"575138"
"Alfredo Chaves (ES)";"457719"
"Alto Rio Novo (ES)";"113034"
"Anchieta (ES)";"5764148"
"Apiacá (ES)";"118193"
"Aracruz (ES)";"5313106"
"Atílio Vivácqua (ES)";"360866"
"Baixo Guandu (ES)";"928265"
"Barra de São Francisco (ES)";"1165006"
"Boa Esperança (ES)";"271044"
"Bom Jesus do Norte (ES)";"186832"
"Brejetuba (ES)";"294750"
"Cachoeiro de Itapemirim (ES)";"6146964"
"Cariacica (ES)";"13698973"
"Castelo (ES)";"1170595"
"Colatina (ES)";"4378306"
"Conceição da Barra (ES)";"607069"
"Conceição do Castelo (ES)";"279078"
