"Município";"Pib"
"Rio da Conceição (TO)";"29142"
"Rio dos Bois (TO)";"85928"
"Rio Sono (TO)";"111443"
"Sampaio (TO)";"145863"
"Sandolândia (TO)";"116736"
"Santa Fé do Araguaia (TO)";"175927"
"Santa Maria do Tocantins (TO)";"139630"
"Santa Rita do Tocantins (TO)";"180273"
"Santa Rosa do Tocantins (TO)";"307685"
"Santa Tereza do Tocantins (TO)";"48098"
"Santa Terezinha do Tocantins (TO)";"41931"
"São Bento do Tocantins (TO)";"73590"
"São Félix do Tocantins (TO)";"36541"
"São Miguel do Tocantins (TO)";"255814"
"São Salvador do Tocantins (TO)";"49467"
"São Sebastião do Tocantins (TO)";"61804"
"São Valério (TO)";"156734"
"Silvanópolis (TO)";"240329"
"Sítio Novo do Tocantins (TO)";"132862"
"Sucupira (TO)";"532374"
"Taguatinga (TO)";"318253"
"Taipas do Tocantins (TO)";"35246"
"Talismã (TO)";"146708"
"Palmas (TO)";"10333419"
"Tocantínia (TO)";"191373"
"Tocantinópolis (TO)";"372642"
"Tupirama (TO)";"118839"
"Tupiratins (TO)";"38619"
"Wanderlândia (TO)";"183424"
"Xambioá (TO)";"471020"
"Açailândia (MA)";"3828780"
"Afonso Cunha (MA)";"85068"
"Água Doce do Maranhão (MA)";"101672"
"Alcântara (MA)";"148797"
"Aldeias Altas (MA)";"249450"
"Altamira do Maranhão (MA)";"71526"
"Alto Alegre do Maranhão (MA)";"303156"
"Alto Alegre do Pindaré (MA)";"251786"
"Alto Parnaíba (MA)";"578991"
"Amapá do Maranhão (MA)";"70213"
"Amarante do Maranhão (MA)";"388693"
"Anajatuba (MA)";"207643"
"Anapurus (MA)";"149133"
"Apicum-Açu (MA)";"133979"
"Araguanã (MA)";"101754"
"Araioses (MA)";"282823"
"Arame (MA)";"290362"
"Arari (MA)";"313303"
"Axixá (MA)";"97443"
"Bacabal (MA)";"1514711"
"Bacabeira (MA)";"599322"
"Bacuri (MA)";"122906"
"Bacurituba (MA)";"39600"
"Balsas (MA)";"6307610"
"Barão de Grajaú (MA)";"268565"
"Barra do Corda (MA)";"889327"
"Barreirinhas (MA)";"635796"
"Belágua (MA)";"60734"
"Bela Vista do Maranhão (MA)";"107575"
"Benedito Leite (MA)";"73162"
"Bequimão (MA)";"138140"
"Bernardo do Mearim (MA)";"105126"
"Boa Vista do Gurupi (MA)";"67554"
"Bom Jardim (MA)";"411430"
"Bom Jesus das Selvas (MA)";"375736"
"Bom Lugar (MA)";"117983"
"Brejo (MA)";"328697"
"Brejo de Areia (MA)";"71082"
"Buriti (MA)";"277995"
"Buriti Bravo (MA)";"238710"
"Buriticupu (MA)";"748132"
"Buritirana (MA)";"122497"
"Cachoeira Grande (MA)";"60992"
"Cajapió (MA)";"70673"
"Cajari (MA)";"128111"
"Campestre do Maranhão (MA)";"214038"
"Cândido Mendes (MA)";"146821"
"Cantanhede (MA)";"153436"
"Capinzal do Norte (MA)";"284011"
"Carolina (MA)";"525940"
"Carutapera (MA)";"202040"
"Caxias (MA)";"2112941"
"Cedral (MA)";"78602"
"Central do Maranhão (MA)";"58363"
"Centro do Guilherme (MA)";"103761"
"Centro Novo do Maranhão (MA)";"200805"
"Chapadinha (MA)";"894509"
"Cidelândia (MA)";"183588"
"Codó (MA)";"1648786"
"Coelho Neto (MA)";"462763"
"Colinas (MA)";"553253"
"Conceição do Lago-Açu (MA)";"147232"
"Coroatá (MA)";"533670"
"Cururupu (MA)";"264588"
"Davinópolis (MA)";"190230"
"Dom Pedro (MA)";"262586"
"Duque Bacelar (MA)";"86926"
"Esperantinópolis (MA)";"159009"
"Estreito (MA)";"1138794"
"Feira Nova do Maranhão (MA)";"118019"
"Fernando Falcão (MA)";"100433"
"Formosa da Serra Negra (MA)";"202181"
"Fortaleza dos Nogueiras (MA)";"346720"
"Fortuna (MA)";"143321"
"Godofredo Viana (MA)";"2658714"
"Gonçalves Dias (MA)";"150088"
"Governador Archer (MA)";"91925"
"Governador Edison Lobão (MA)";"375030"
"Governador Eugênio Barros (MA)";"118448"
"Governador Luiz Rocha (MA)";"71094"
"Governador Newton Bello (MA)";"84191"
"Governador Nunes Freire (MA)";"258016"
"Graça Aranha (MA)";"54166"
"Grajaú (MA)";"1149837"
"Guimarães (MA)";"93414"
"Humberto de Campos (MA)";"184411"
"Icatu (MA)";"178973"
"Igarapé do Meio (MA)";"370692"
"Igarapé Grande (MA)";"117754"
"Imperatriz (MA)";"7693511"
"Itaipava do Grajaú (MA)";"107310"
"Itapecuru Mirim (MA)";"772940"
"Itinga do Maranhão (MA)";"489270"
"Jatobá (MA)";"75706"
"Jenipapo dos Vieiras (MA)";"125762"
"João Lisboa (MA)";"270665"
"Joselândia (MA)";"116564"
"Junco do Maranhão (MA)";"61714"
"Lago da Pedra (MA)";"550477"
"Lago do Junco (MA)";"86662"
"Lago Verde (MA)";"135765"
"Lagoa do Mato (MA)";"97026"
"Lago dos Rodrigues (MA)";"83998"
"Lagoa Grande do Maranhão (MA)";"102454"
"Lajeado Novo (MA)";"101485"
"Lima Campos (MA)";"274574"
"Loreto (MA)";"413287"
"Luís Domingues (MA)";"57351"
"Magalhães de Almeida (MA)";"140989"
"Maracaçumé (MA)";"207076"
"Marajá do Sena (MA)";"90824"
"Maranhãozinho (MA)";"120934"
"Mata Roma (MA)";"179239"
"Matinha (MA)";"196785"
"Matões (MA)";"256405"
"Matões do Norte (MA)";"99343"
