,Cidade,UF,Região,População,Pib
1087,FLORES DE GOIAS,GO,Centro-Oeste,13744.0,13744.0
1088,FLORES DO PIAUI,PI,Nordeste,4414.0,4414.0
1089,FLORESTA,PE,Nordeste,30137.0,30137.0
1090,FLORESTA AZUL,BA,Nordeste,11059.0,11059.0
1091,FLORESTA DO PIAUI,PI,Nordeste,2333.0,2333.0
1092,FLORESTAL,MG,Sudeste,8045.0,8045.0
1093,FLORIANO PEIXOTO,RS,Sul,1668.0,1668.0
1094,FLORIDA,PR,Sul,2652.0,2652.0
1095,FLORIDA PAULISTA,SP,Sudeste,12958.0,12958.0
1096,FLORINEA,SP,Sudeste,3851.0,3851.0
1097,FONTE BOA,AM,Norte,25871.0,25871.0
1098,FONTOURA XAVIER,RS,Sul,9550.0,9550.0
1099,FORMIGUEIRO,RS,Sul,6413.0,6413.0
1100,FORMOSA DA SERRA NEGRA,MA,Nordeste,17719.0,17719.0
1101,FORMOSA DO SUL,SC,Sul,2682.0,2682.0
1102,FORMOSO,MG,Sudeste,7949.0,7949.0
1103,FORQUILHA,CE,Nordeste,24173.0,24173.0
1104,FORQUILHINHA,SC,Sul,31431.0,31431.0
1105,FORTALEZA DE MINAS,MG,Sudeste,3477.0,3477.0
1106,FORTALEZA DOS NOGUEIRAS,MA,Nordeste,12640.0,12640.0
1107,FORTIM,CE,Nordeste,17294.0,17294.0
1108,FORTUNA DE MINAS,MG,Sudeste,3093.0,3093.0
1109,FOZ DO JORDAO,PR,Sul,4926.0,4926.0
1110,FRANCINOPOLIS,PI,Nordeste,4505.0,4505.0
1111,FRANCISCO ALVES,PR,Sul,8116.0,8116.0
1112,FRANCISCO AYRES,PI,Nordeste,4412.0,4412.0
1113,FRANCISCO BADARO,MG,Sudeste,7366.0,7366.0
1114,FRANCISCO BELTRAO,PR,Sul,96666.0,96666.0
1115,FRANCISCO DANTAS,RN,Nordeste,2700.0,2700.0
1116,FRANCISCO DUMONT,MG,Sudeste,4503.0,4503.0
1117,FRANCISCO MACEDO,PI,Nordeste,2929.0,2929.0
1118,FRANCISCO SA,MG,Sudeste,23476.0,23476.0
1119,FRANCISCO SANTOS,PI,Nordeste,8237.0,8237.0
1120,FRANCISCOPOLIS,MG,Sudeste,5034.0,5034.0
1121,FRECHEIRINHA,CE,Nordeste,15657.0,15657.0
1122,FREI LAGONEGRO,MG,Sudeste,3391.0,3391.0
1123,FREI MARTINHO,PB,Nordeste,2846.0,2846.0
1124,FREI PAULO,SE,Nordeste,14530.0,14530.0
1125,FRONTEIRAS,PI,Nordeste,10259.0,10259.0
1126,FRUTA DE LEITE,MG,Sudeste,4647.0,4647.0
1127,FRUTUOSO GOMES,RN,Nordeste,4122.0,4122.0
1128,FUNILANDIA,MG,Sudeste,4686.0,4686.0
1129,GABRIEL MONTEIRO,SP,Sudeste,2763.0,2763.0
1130,GADO BRAVO,PB,Nordeste,8179.0,8179.0
1131,GALIA,SP,Sudeste,6380.0,6380.0
1132,GALINHOS,RN,Nordeste,2104.0,2104.0
1133,GALVAO,SC,Sul,3210.0,3210.0
1134,GAMELEIRA,PE,Nordeste,18214.0,18214.0
1135,GAMELEIRA DE GOIAS,GO,Centro-Oeste,3456.0,3456.0
1136,GAMELEIRAS,MG,Sudeste,4793.0,4793.0
1137,GANDU,BA,Nordeste,32178.0,32178.0
1138,GARARU,SE,Nordeste,11096.0,11096.0
1139,GARIBALDI,RS,Sul,34335.0,34335.0
1140,GAROPABA,SC,Sul,29959.0,29959.0
1141,GARRAFAO DO NORTE,PA,Norte,24703.0,24703.0
1142,GARRUCHOS,RS,Sul,2688.0,2688.0
1143,GARUVA,SC,Sul,18545.0,18545.0
1144,GASTAO VIDIGAL,SP,Sudeste,3252.0,3252.0
1145,GAURAMA,RS,Sul,5665.0,5665.0
1146,GEMINIANO,PI,Nordeste,5445.0,5445.0
1147,GENERAL CAMARA,RS,Sul,7612.0,7612.0
1148,GENERAL CARNEIRO,PR,Sul,11062.0,11062.0
1149,GENERAL MAYNARD,SE,Nordeste,3037.0,3037.0
1150,GENERAL SALGADO,SP,Sudeste,10312.0,10312.0
1151,GENERAL SAMPAIO,CE,Nordeste,6734.0,6734.0
1152,GENTIL,RS,Sul,1744.0,1744.0
1153,GENTIO DO OURO,BA,Nordeste,10884.0,10884.0
1154,GILBUES,PI,Nordeste,10892.0,10892.0
1155,GIRAU DO PONCIANO,AL,Nordeste,36102.0,36102.0
1156,GIRUA,RS,Sul,16013.0,16013.0
1157,GLAUCILANDIA,MG,Sudeste,2928.0,2928.0
1158,GLORIA,BA,Nordeste,15524.0,15524.0
1159,GLORIA DE DOURADOS,MS,Centro-Oeste,10444.0,10444.0
1160,GLORIA DO GOITA,PE,Nordeste,29347.0,29347.0
1161,GLORIA DOESTE,MT,Centro-Oeste,,
1162,GODOFREDO VIANA,MA,Nordeste,10186.0,10186.0
1163,GODOY MOREIRA,PR,Sul,2977.0,2977.0
1164,GOIABEIRA,MG,Sudeste,2830.0,2830.0
1165,GOIANA,MG,Sudeste,4053.0,4053.0
1166,GOIANAPOLIS,GO,Centro-Oeste,13967.0,13967.0
1167,GOIANINHA,RN,Nordeste,26741.0,26741.0
1168,GOIOXIM,PR,Sul,6566.0,6566.0
1169,GONGOGI,BA,Nordeste,5555.0,5555.0
1170,GONZAGA,MG,Sudeste,5230.0,5230.0
1171,GOUVEIA,MG,Sudeste,11331.0,11331.0
1172,GOUVELANDIA,GO,Centro-Oeste,4390.0,4390.0
1173,GOVERNADOR CELSO RAMOS,SC,Sul,16915.0,16915.0
1174,GOVERNADOR DIX,SEPT ROSADO - RN,Desconhecido,11938.0,11938.0
1175,GOVERNADOR EUGENIO BARROS,MA,Nordeste,13930.0,13930.0
1176,GOVERNADOR LUIZ ROCHA,MA,Nordeste,7063.0,7063.0
1177,GOVERNADOR NEWTON BELLO,MA,Nordeste,10713.0,10713.0
1178,GOVERNADOR NUNES FREIRE,MA,Nordeste,23128.0,23128.0
1179,GRACA,CE,Nordeste,13801.0,13801.0
1180,GRACA ARANHA,MA,Nordeste,6023.0,6023.0
1181,GRACHO CARDOSO,SE,Nordeste,5834.0,5834.0
1182,GRAJAU,MA,Nordeste,73872.0,73872.0
1183,GRAMADO DOS LOUREIROS,RS,Sul,2014.0,2014.0
1184,GRAMADO XAVIER,RS,Sul,3304.0,3304.0
1185,GRANDES RIOS,PR,Sul,5641.0,5641.0
1186,GRANITO,PE,Nordeste,6967.0,6967.0
1187,GRANJA,CE,Nordeste,53344.0,53344.0
1188,GRANJEIRO,CE,Nordeste,4841.0,4841.0
1189,GRAO MOGOL,MG,Sudeste,13901.0,13901.0
1190,GRAO,PARA - SC,Desconhecido,6277.0,6277.0
1191,GROAIRAS,CE,Nordeste,10910.0,10910.0
1192,GRUPIARA,MG,Sudeste,1392.0,1392.0
1193,GUABIJU,RS,Sul,1417.0,1417.0
1194,GUABIRUBA,SC,Sul,24543.0,24543.0
1195,GUACUI,ES,Sudeste,29358.0,29358.0
1196,GUAICARA,SP,Sudeste,11239.0,11239.0
1197,GUAIMBE,SP,Sudeste,5512.0,5512.0
1198,GUAIUBA,CE,Nordeste,24325.0,24325.0
1199,GUAJERU,BA,Nordeste,8050.0,8050.0
1200,GUAMARE,RN,Nordeste,15295.0,15295.0
1201,GUAMIRANGA,PR,Sul,7856.0,7856.0
1202,GUANHAES,MG,Sudeste,32244.0,32244.0
1203,GUAPE,MG,Sudeste,13772.0,13772.0
1204,GUAPIARA,SP,Sudeste,17071.0,17071.0
1205,GUAPIMIRIM,RJ,Sudeste,51696.0,51696.0
1206,GUAPORE,RS,Sul,25268.0,25268.0
1207,GUARABIRA,PB,Nordeste,57484.0,57484.0
1208,GUARACAI,SP,Sudeste,7441.0,7441.0
1209,GUARACIABA,MG,Sudeste,9753.0,9753.0
1210,GUARACIABA,SC,Sul,10796.0,10796.0
1211,GUARACIABA DO NORTE,CE,Nordeste,42053.0,42053.0
1212,GUARACIAMA,MG,Sudeste,5051.0,5051.0
1213,GUARAITA,GO,Centro-Oeste,2188.0,2188.0
1214,GUARAMIRANGA,CE,Nordeste,5654.0,5654.0
1215,GUARANI,MG,Sudeste,7714.0,7714.0
1216,GUARANI DOESTE,SP,Sudeste,,
1217,GUARAQUECABA,PR,Sul,7430.0,7430.0
1218,GUARARA,MG,Sudeste,3149.0,3149.0
1219,GUARATINGA,BA,Nordeste,19049.0,19049.0
1220,GUARATUBA,PR,Sul,42062.0,42062.0
1221,GUARDA,MOR - MG,Desconhecido,6539.0,6539.0
1222,GUARIBAS,PI,Nordeste,4276.0,4276.0
1223,GUARINOS,GO,Centro-Oeste,2161.0,2161.0
1224,GUARUJA DO SUL,SC,Sul,4829.0,4829.0
1225,GUATAMBU,SC,Sul,8425.0,8425.0
1226,GUIMARAES,MA,Nordeste,10290.0,10290.0
1227,GUIRICEMA,MG,Sudeste,7778.0,7778.0
1228,GURINHATA,MG,Sudeste,5192.0,5192.0
1229,GURINHEM,PB,Nordeste,13766.0,13766.0
1230,GURJAO,PB,Nordeste,3242.0,3242.0
1231,GURUPA,PA,Norte,31786.0,31786.0
1232,HARMONIA,RS,Sul,5378.0,5378.0
1233,HEITORAI,GO,Centro-Oeste,3354.0,3354.0
1234,HELIODORA,MG,Sudeste,6134.0,6134.0
1235,HELIOPOLIS,BA,Nordeste,12309.0,12309.0
1236,HERCULANDIA,SP,Sudeste,9125.0,9125.0
1237,HERVAL DOESTE,SC,Sul,,
1238,HERVEIRAS,RS,Sul,2565.0,2565.0
1239,HIDROLANDIA,CE,Nordeste,17855.0,17855.0
1240,HIDROLINA,GO,Centro-Oeste,3545.0,3545.0
1241,HONORIO SERPA,PR,Sul,4941.0,4941.0
1242,HORIZONTINA,RS,Sul,18851.0,18851.0
1243,HUGO NAPOLEAO,PI,Nordeste,3518.0,3518.0
1244,HULHA NEGRA,RS,Sul,5976.0,5976.0
1245,HUMAITA,AM,Norte,57473.0,57473.0
1246,HUMAITA,RS,Sul,4681.0,4681.0
1247,HUMBERTO DE CAMPOS,MA,Nordeste,25680.0,25680.0
1248,IACIARA,GO,Centro-Oeste,10584.0,10584.0
1249,IACRI,SP,Sudeste,6131.0,6131.0
1250,IARAS,SP,Sudeste,8010.0,8010.0
1251,IATI,PE,Nordeste,17165.0,17165.0
1252,IBARAMA,RS,Sul,3732.0,3732.0
1253,IBARETAMA,CE,Nordeste,11956.0,11956.0
1254,IBATEGUARA,AL,Nordeste,13731.0,13731.0
1255,IBATIBA,ES,Sudeste,25380.0,25380.0
1256,IBEMA,PR,Sul,6218.0,6218.0
1257,IBERTIOGA,MG,Sudeste,5198.0,5198.0
1258,IBIA,MG,Sudeste,22229.0,22229.0
1259,IBIACA,RS,Sul,4527.0,4527.0
1260,IBIAI,MG,Sudeste,6286.0,6286.0
1261,IBIAM,SC,Sul,2008.0,2008.0
1262,IBIAPINA,CE,Nordeste,23965.0,23965.0
1263,IBIARA,PB,Nordeste,5631.0,5631.0
1264,IBIASSUCE,BA,Nordeste,10429.0,10429.0
1265,IBICARE,SC,Sul,3269.0,3269.0
1266,IBICOARA,BA,Nordeste,20785.0,20785.0
1267,IBICUI,BA,Nordeste,13934.0,13934.0
1268,IBICUITINGA,CE,Nordeste,11611.0,11611.0
1269,IBIMIRIM,PE,Nordeste,26593.0,26593.0
1270,IBIPEBA,BA,Nordeste,16603.0,16603.0
1271,IBIPITANGA,BA,Nordeste,13863.0,13863.0
1272,IBIQUERA,BA,Nordeste,3725.0,3725.0
1273,IBIRACATU,MG,Sudeste,5081.0,5081.0
1274,IBIRAIARAS,RS,Sul,6776.0,6776.0
1275,IBIRAJUBA,PE,Nordeste,7140.0,7140.0
1276,IBIRAMA,SC,Sul,19862.0,19862.0
1277,IBIRAPITANGA,BA,Nordeste,25344.0,25344.0
1278,IBIRAPUITA,RS,Sul,3723.0,3723.0
1279,IBIRAREMA,SP,Sudeste,6385.0,6385.0
1280,IBIRATAIA,BA,Nordeste,18792.0,18792.0
1281,IBIRUBA,RS,Sul,21583.0,21583.0
1282,IBITIRAMA,ES,Sudeste,9520.0,9520.0
1283,IBITITA,BA,Nordeste,16969.0,16969.0
1284,IBITURUNA,MG,Sudeste,2698.0,2698.0
1285,ICAPUI,CE,Nordeste,21433.0,21433.0
1286,ICARA,SC,Sul,59035.0,59035.0
1287,ICARAI DE MINAS,MG,Sudeste,10677.0,10677.0
1288,ICARAIMA,PR,Sul,8991.0,8991.0
1289,ICHU,BA,Nordeste,6190.0,6190.0
1290,ICO,CE,Nordeste,62642.0,62642.0
1291,ICONHA,ES,Sudeste,12326.0,12326.0
1292,IELMO MARINHO,RN,Nordeste,11615.0,11615.0
1293,IEPE,SP,Sudeste,7619.0,7619.0
1294,IGACI,AL,Nordeste,23995.0,23995.0
1295,IGAPORA,BA,Nordeste,15527.0,15527.0
1296,IGARACY,PB,Nordeste,5648.0,5648.0
1297,IGARAPAVA,SP,Sudeste,26212.0,26212.0
1298,IGARAPE DO MEIO,MA,Nordeste,13974.0,13974.0
1299,IGARAPE GRANDE,MA,Nordeste,10231.0,10231.0
1300,IGARAPE,ACU - PA,Desconhecido,35797.0,35797.0
1301,IGARAPE,MIRI - PA,Desconhecido,64831.0,64831.0
